origem,categoria,subcategoria,codigo,nome,custo,foto,fonte_gw
Meus Vendidos,,,,,,,Garrafa Led Termometro 500 Ml
Meus Vendidos,,,,,,,"Garrafa Quencher 1,2L"
Meus Vendidos,,,01318,MOCHILA NYLON USB 20L ,36.5,https://cdn.xbzbrindes.com.br/img/produtos/3/Mochila-de-Nylon-USB-17L-PRETO14100-1648138306.jpg,Mochila Usb 20L
Meus Vendidos,,,18921,SQUEEZE ALUMÍNIO 600ML,12.2,https://cdn.xbzbrindes.com.br/img/produtos/3/Squeeze-de-Aluminio-600ml-BRANCO22790-1744210697.jpg,Squeeze Aluminio 650Ml
XBZ Top10,"COPOS, GARRAFAS E CANECAS",Copos,18645L,COPO TÉRMICO 500ML *LISO C/ ABRIDOR,17.9,https://cdn.xbzbrindes.com.br/img/produtos/3/Copo-Termico-500ml-com-AbridorPRETO-14068-1655126973.jpg,
XBZ Top10,"COPOS, GARRAFAS E CANECAS",Copos,03006A,COPO FIBRA DE BAMBU 350ML,6.2,https://cdn.xbzbrindes.com.br/img/produtos/3/Copo-Fibra-de-Bambu-350ml-177721701195969.jpg,
XBZ Top10,"COPOS, GARRAFAS E CANECAS",Copos,06094,COPO VIDRO PAREDE DUPLA 80ML,7.2,https://cdn.xbzbrindes.com.br/img/produtos/3/Copo-Vidro-Parede-Dupla-80mlTRANSPARENTE-18639-1713796384.jpg,
XBZ Top10,"COPOS, GARRAFAS E CANECAS",Copos,14726L,COPO TÉRMICO INOX 320ML,16.9,https://cdn.xbzbrindes.com.br/img/produtos/3/Copo-Inox-Parede-Dupla-320ml-PRETO14315-1694609375.jpg,
XBZ Top10,"COPOS, GARRAFAS E CANECAS",Copos,14498,COPO FIBRA DE ARROZ 350ML,2.99,https://cdn.xbzbrindes.com.br/img/produtos/3/Copo-Fibra-de-Bambu-350ml-VERDE12322-1602250165.jpg,
XBZ Top10,"COPOS, GARRAFAS E CANECAS",Copos,08245,COPO INOX PAREDE DUPLA 150ML,20.5,https://cdn.xbzbrindes.com.br/img/produtos/3/Copo-Inox-150ml-INOX-224761741205158.jpg,
XBZ Top10,"COPOS, GARRAFAS E CANECAS",Copos,06096,COPO VIDRO PAREDE DUPLA 160ML,7.5,https://cdn.xbzbrindes.com.br/img/produtos/3/Copo-Vidro-Parede-Dupla-160mlTRANSPARENTE-18636-1713794443.jpg,
XBZ Top10,"COPOS, GARRAFAS E CANECAS",Garrafas Térmicas / Squeezes,12487F,SQUEEZE ALUMINIO FOSCO 650ML,10.9,https://cdn.xbzbrindes.com.br/img/produtos/3/Squeeze-600ml-Aluminio-AZUL-1631563375236.jpg,
XBZ Top10,"COPOS, GARRAFAS E CANECAS",Garrafas Térmicas / Squeezes,9139A,SQUEEZE ALUMINIO 500ML C/ BICO E MOSQUETÃO,9.9,https://cdn.xbzbrindes.com.br/img/produtos/3/Squeeze-Aluminio-500ml-AZUL-164541686687964.jpg,
XBZ Top10,"COPOS, GARRAFAS E CANECAS",Garrafas Térmicas / Squeezes,17012,GARRAFA PLÁSTICA 700ML,8.5,https://cdn.xbzbrindes.com.br/img/produtos/3/Garrafa-Plastica-700ml-LARANJA9145-1682685980.jpg,
XBZ Top10,"COPOS, GARRAFAS E CANECAS",Garrafas Térmicas / Squeezes,02112,GARRAFA TÉRMICA 400ML,18.5,https://cdn.xbzbrindes.com.br/img/produtos/3/Garrafa-Termica-400ml-PRETO-76151530361585.jpg,
XBZ Top10,"COPOS, GARRAFAS E CANECAS",Garrafas Térmicas / Squeezes,18695,GARRAFA PLÁSTICA 600ML,6.9,https://cdn.xbzbrindes.com.br/img/produtos/3/Garrafa-Plastica-600ml-VERMELHO15094-1667241379.jpg,
XBZ Top10,"COPOS, GARRAFAS E CANECAS",Garrafas Térmicas / Squeezes,09138,SQUEEZE ALUMÍNIO 420ML C/ MOSQUETÃO,7.9,https://cdn.xbzbrindes.com.br/img/produtos/3/Squeeze-Aluminio-420ml-VERDE-165961688146555.jpg,
XBZ Top10,"COPOS, GARRAFAS E CANECAS",Garrafas de Inox / Alumínio,18552,GARRAFA INOX 750ML,15.8,https://cdn.xbzbrindes.com.br/img/produtos/3/Garrafa-PRETO-111021573143292.jpg,
XBZ Top10,"COPOS, GARRAFAS E CANECAS",Garrafas de Inox / Alumínio,17011F,GARRAFA 750ML INOX,18.5,https://cdn.xbzbrindes.com.br/img/produtos/3/Garrafa-Inox-750ml-AZUL-116291699637273.jpg,
XBZ Top10,"COPOS, GARRAFAS E CANECAS",Garrafas de Inox / Alumínio,18855,GARRAFA TÉRMICA INOX 850ML,30.9,https://cdn.xbzbrindes.com.br/img/produtos/3/Garrafa-Termica-Inox-850ml-VERDE21080-1730914793.jpg,
XBZ Top10,"COPOS, GARRAFAS E CANECAS",Garrafas de Inox / Alumínio,06012,GARRAFA INOX PAREDE DUPLA 250ML,18.9,https://cdn.xbzbrindes.com.br/img/produtos/3/Garrafa-Inox-250ml-ROSA-168531690482329.jpg,
XBZ Top10,"COPOS, GARRAFAS E CANECAS",Garrafas de Inox / Alumínio,18781,GARRAFA DE ALUMÍNIO 600ML,11.5,https://cdn.xbzbrindes.com.br/img/produtos/3/Garrafa-de-Aluminio-600ml-CINZA20071-1725620840.jpg,
