codigo,nome,categoria,subcategoria,custo,origem,image_url,image_url_secundaria
14794,Garrafa Led Termometro 500 Ml,,,,Meus Vendidos,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/14794/14794_1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/14794/14794_2.jpg
06033,"Garrafa Quencher 1,2L",,,,Meus Vendidos,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/06033-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/06033/06033_2.jpg
01318,MOCHILA NYLON USB 20L ,,,36.5,Meus Vendidos,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/01318-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/01318-2-v1.jpg
18921,SQUEEZE ALUMÍNIO 600ML,,,12.2,Meus Vendidos,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18921-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18921-2-v1.jpg
18645L,COPO TÉRMICO 500ML *LISO C/ ABRIDOR,"COPOS, GARRAFAS E CANECAS",Copos,17.9,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18645L-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/18645l/18645l_2.jpg
03006A,COPO FIBRA DE BAMBU 350ML,"COPOS, GARRAFAS E CANECAS",Copos,6.2,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/03006A-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/03006A-2-v1.jpg
06094,COPO VIDRO PAREDE DUPLA 80ML,"COPOS, GARRAFAS E CANECAS",Copos,7.2,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/06094-1-v1.jpg,
14726L,COPO TÉRMICO INOX 320ML,"COPOS, GARRAFAS E CANECAS",Copos,16.9,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/14726L-1-v2.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/14726L-2-v1.jpg
14498,COPO FIBRA DE ARROZ 350ML,"COPOS, GARRAFAS E CANECAS",Copos,2.99,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/14498-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/14498-2-v1.jpg
08245,COPO INOX PAREDE DUPLA 150ML,"COPOS, GARRAFAS E CANECAS",Copos,20.5,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/08245-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/08245-2-v1.jpg
06096,COPO VIDRO PAREDE DUPLA 160ML,"COPOS, GARRAFAS E CANECAS",Copos,7.5,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/06096-1-v1.jpg,
12487F,SQUEEZE ALUMINIO FOSCO 650ML,"COPOS, GARRAFAS E CANECAS",Garrafas Térmicas / Squeezes,10.9,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/12487F-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/12487F/12487F_2.jpg
9139A,SQUEEZE ALUMINIO 500ML C/ BICO E MOSQUETÃO,"COPOS, GARRAFAS E CANECAS",Garrafas Térmicas / Squeezes,9.9,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/9139A-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/9139A-2-v1.jpg
17012,GARRAFA PLÁSTICA 700ML,"COPOS, GARRAFAS E CANECAS",Garrafas Térmicas / Squeezes,8.5,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/17012-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/17012-2-v2.jpg
02112,GARRAFA TÉRMICA 400ML,"COPOS, GARRAFAS E CANECAS",Garrafas Térmicas / Squeezes,18.5,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/02112-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/02112-2-v1.jpg
18695,GARRAFA PLÁSTICA 600ML,"COPOS, GARRAFAS E CANECAS",Garrafas Térmicas / Squeezes,6.9,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18695-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/18695/18695_2.jpg
09138,SQUEEZE ALUMÍNIO 420ML C/ MOSQUETÃO,"COPOS, GARRAFAS E CANECAS",Garrafas Térmicas / Squeezes,7.9,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/09138-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/09138-2-v1.jpg
18552,GARRAFA INOX 750ML,"COPOS, GARRAFAS E CANECAS",Garrafas de Inox / Alumínio,15.8,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18552-1-v2.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18552-2-v1.jpg
17011F,GARRAFA 750ML INOX,"COPOS, GARRAFAS E CANECAS",Garrafas de Inox / Alumínio,18.5,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/17011F-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/17011F/17011F_2.jpg
18855,GARRAFA TÉRMICA INOX 850ML,"COPOS, GARRAFAS E CANECAS",Garrafas de Inox / Alumínio,30.9,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18855-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18855-2-v1.jpg
06012,GARRAFA INOX PAREDE DUPLA 250ML,"COPOS, GARRAFAS E CANECAS",Garrafas de Inox / Alumínio,18.9,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/06012-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/06012-2-v1.jpg
18781,GARRAFA DE ALUMÍNIO 600ML,"COPOS, GARRAFAS E CANECAS",Garrafas de Inox / Alumínio,11.5,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18781-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18781-2-v2.jpg
08195,GARRAFA TÉRMICA INOX 550ML,"COPOS, GARRAFAS E CANECAS",Garrafas de Inox / Alumínio,27.9,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/08195-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/08195-2-v1.jpg
07392,CANECA INOX 180ML C/ TAMPA,"COPOS, GARRAFAS E CANECAS",Canecas,6.8,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/07392-1-v1.jpg,
13282,CANECA CERÂMICA 330ML,"COPOS, GARRAFAS E CANECAS",Canecas,9.2,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/13282-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/13282-2-v1.jpg
04070,CANECA TÉRMICA 700ML,"COPOS, GARRAFAS E CANECAS",Canecas,29.9,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/04070-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/04070/04070_2.jpg
06033,"CANECA TÉRMICA 1,2L ","COPOS, GARRAFAS E CANECAS",Canecas,36.9,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/06033-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/06033/06033_2.jpg
03590,CANECA INOX 370ML,"COPOS, GARRAFAS E CANECAS",Canecas,11.5,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/03590-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/03590-2-v1.jpg
18912,CANECA TÉRMICA INOX 300ML,"COPOS, GARRAFAS E CANECAS",Canecas,24.5,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18912-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/18912/18912_2.jpg
01320,MOCHILA DE NYLON USB 20L,"MOCHILAS, BOLSAS TÉRMICAS E MALAS",Mochilas e Sacochilas,36.5,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/01320-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/01320/01320_2.jpg
18539,MOCHILA DE NYLON DOBRÁVEL 21L,"MOCHILAS, BOLSAS TÉRMICAS E MALAS",Mochilas e Sacochilas,14.9,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18539-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18539-2-v1.jpg
02105,MOCHILA NYLON 17L,"MOCHILAS, BOLSAS TÉRMICAS E MALAS",Mochilas e Sacochilas,20.9,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/02105-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/02105-2-v1.jpg
02066,MOCHILA NYLON POLIESTER ,"MOCHILAS, BOLSAS TÉRMICAS E MALAS",Mochilas e Sacochilas,65,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/02066-1-v1.jpg,
18601,SACOCHILA POLIÉSTER,"MOCHILAS, BOLSAS TÉRMICAS E MALAS",Mochilas e Sacochilas,10.9,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18601-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/18601/18601_2.jpg
01326,MOCHILA DE NYLON USB 20L,"MOCHILAS, BOLSAS TÉRMICAS E MALAS",Mochilas e Sacochilas,36.5,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/01326-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/01326-2-v1.jpg
06024,BOLSA TÉRMICA 6L,"MOCHILAS, BOLSAS TÉRMICAS E MALAS",Bolsas Térmicas,10.9,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/06024-1-v2.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/06024-2-v2.jpg
04357,BOLSA TÉRMICA 10L,"MOCHILAS, BOLSAS TÉRMICAS E MALAS",Bolsas Térmicas,25,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/04357-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/04357-2-v2.jpg
02596,BOLSA TÉRMICA 15L,"MOCHILAS, BOLSAS TÉRMICAS E MALAS",Bolsas Térmicas,12.5,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/02596-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/02596/02596_2.jpg
02399,BOLSA TÉRMICA 6 LITROS.,"MOCHILAS, BOLSAS TÉRMICAS E MALAS",Bolsas Térmicas,6.2,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/02399-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/02399-2-v1.jpg
02697,BOLSA TÉRMICA 17L,"MOCHILAS, BOLSAS TÉRMICAS E MALAS",Bolsas Térmicas,8.2,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/02697-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/02697-2-v1.jpg
04385,BOLSA TÉRMICA 11L,"MOCHILAS, BOLSAS TÉRMICAS E MALAS",Bolsas Térmicas,28.9,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/04385-1-v2.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/04385-2-v1.jpg
06070P,MALA DE BORDO 30 LITROS,"MOCHILAS, BOLSAS TÉRMICAS E MALAS",Malas de Viagem,167,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/06070P-1-v1.jpg,
15436,BALANÇA DE MALA,"MOCHILAS, BOLSAS TÉRMICAS E MALAS",Malas de Viagem,19.7,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/15436-1-v1.jpg,
08242,MALA DE VIAGEM 37L,"MOCHILAS, BOLSAS TÉRMICAS E MALAS",Malas de Viagem,150,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/08242-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/08242-2-v2.jpg
06068,MALA DE VIAGEM 66L,"MOCHILAS, BOLSAS TÉRMICAS E MALAS",Malas de Viagem,165,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/06068-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/06068-2-v1.jpg
18516,NECESSAIRE EM POLIESTER IMPERMEÁVEL ,"NECESSAIRES, PORTA JOIAS E KIT MANICURE",Necessaires,3.5,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18516-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/18516/18516_2.jpg
18501,NÉCESSAIRE DE NYLON,"NECESSAIRES, PORTA JOIAS E KIT MANICURE",Necessaires,8.5,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18501-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/18501/18501_2.jpg
18738,NÉCESSAIRE POLIÉSTER,"NECESSAIRES, PORTA JOIAS E KIT MANICURE",Necessaires,9.9,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18738-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18738-2-v1.jpg
01228P,NECESSAIRE PVC IMPERMEÁVEL C/ PLAQUINHA ,"NECESSAIRES, PORTA JOIAS E KIT MANICURE",Necessaires,10.9,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/01228P-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/01228P-2-v1.jpg
18753,NÉCESSAIRE DE POLIÉSTER,"NECESSAIRES, PORTA JOIAS E KIT MANICURE",Necessaires,18.9,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18753-1-v2.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18753-2-v2.jpg
01622B,PORTA JOIAS,"NECESSAIRES, PORTA JOIAS E KIT MANICURE",Porta Joias,8.2,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/01622B-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/01622B-2-v1.jpg
08142,PORTA-JOIAS COM ESPELHO,"NECESSAIRES, PORTA JOIAS E KIT MANICURE",Porta Joias,10.9,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/08142-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/08142-2-v2.jpg
18717,PORTA JOIAS,"NECESSAIRES, PORTA JOIAS E KIT MANICURE",Porta Joias,33.9,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18717-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18717-2-v1.jpg
01361B,KIT MANICURE 7 PEÇAS,"NECESSAIRES, PORTA JOIAS E KIT MANICURE",Kit Manicure,6.9,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/01361B-1-v1.jpg,
18724,KIT MANICURE 16 PEÇAS,"NECESSAIRES, PORTA JOIAS E KIT MANICURE",Kit Manicure,15,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18724-1-v2.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18724-2-v1.jpg
18900,KIT MANICURE 10 PEÇAS,"NECESSAIRES, PORTA JOIAS E KIT MANICURE",Kit Manicure,13.5,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18900-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/18900-2-v1.jpg
03009,CADERNETA EMBORRACHADA,"CADERNETAS, AGENDAS, BLOCOS E CANETAS",Cadernetas,4,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/03009-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/03009-2-v1.jpg
05067,CADERNETA EMBORRACHADA,"CADERNETAS, AGENDAS, BLOCOS E CANETAS",Cadernetas,6.8,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/05067-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/05067-2-v1.jpg
03005,CADERNETA DE COURO SINTÉTICO,"CADERNETAS, AGENDAS, BLOCOS E CANETAS",Cadernetas,7.5,XBZ Top10,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/03005-1-v1.jpg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/catalogo-meta/03005-2-v1.jpg
