id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,offer_disclaimer,offer_disclaimer_url,video[0].url,video[0].tag[0],gtin,product_tags[0],product_tags[1],style[0],additional_image_link
02596,Bolsa Térmica 15L,"Bolsa térmica de poliéster com capacidade de 15 Litros. Contém alça de mão em nylon. | Medidas de gravação (CxL): 15 cm x 11,5 cm | Peso aproximado: 193g | Cores disponíveis: AZUL, CINZA, PRETO, VERDE, VERMELHO",in stock,new,31.50 BRL,https://giftwebbrindes.com.br/produto/bolsa-termica-15l-02596-vd,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/02596/02596_1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,mochilas-bolsa-necessaire,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/02596/02596_2.jpg
04508,Mochila Nylon 18L,"Mochila de Nylon 18 litros com dois compartimentos, sendo principal com bolso raso para notebook 15.6. Contém bolsos laterais telados. | Medidas de gravação (CxL): 12 cm x 22,5 cm | Peso aproximado: 348g | Cores disponíveis: AZUL, AZUL CLARO, CINZA, PRETO",in stock,new,52.29 BRL,https://giftwebbrindes.com.br/produto/mochila-nylon-18l-04508-azc,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/04508/04508_1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,mochilas-bolsa-necessaire,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/04508/04508_2.jpg
04098B,Garrafa Térmica 630ml,"Beba com qualidade e na temperatura perfeita. | Medidas de gravação (CxL): 15 cm x 2,5 cm | Peso aproximado: 350g | Cores disponíveis: AMARELO, AZUL, BRANCO, CINZA, PRETO, VERDE",in stock,new,56.27 BRL,https://giftwebbrindes.com.br/categoria/garrafas-termicas,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/04098B/04098B_1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,garrafas-agua,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/04098B/04098B_2.jpg
06033,"Caneca Térmica 1,2L","Caneca térmica com capacidade de 1,2 litros feita em inox 304 com parede dupla, contém tampa acrílica rosqueável com acesso para canudo e pegador plástico. | Medidas de gravação (CxL): 12,5 cm x 4 cm | Peso aproximado: 539g | Cores disponíveis: AMARELO COM AZUL, AZUL, BRANCO, BRANCO 1, CINZA, INOX, LARANJA, PINK, PRETO, ROSA, ROSA CLARO, VERDE",in stock,new,65.09 BRL,https://giftwebbrindes.com.br/produto/caneca-termica-1-2l-06033-vd,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/06033/06033_1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,copos-cafe-cerveja,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/06033/06033_2.jpg
19120,Kit Vinho 4 Peças,"Kit vinho composto por 4 itens: saca-rolhas de dois estágios em inox, anel corta-gotas (wine collar) em liga de zinco e feltro, além de bico dosador... | Medidas de gravação (CxL): 14 cm x 12 cm (tampa do estojo) | Peso aproximado: 208g | Cores disponíveis: PRETO",in stock,new,37.59 BRL,https://giftwebbrindes.com.br/produto/kit-vinho-4-pecas-19120-pre,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/19120/19120_1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,kit-churrasco-vinho,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/19120/19120_2.jpg
04399,Sacola de Algodão,"Sacola de algodão 300g/m² com alças costuradas na parte interna. | Medidas de gravação (CxL): 36 cm x 38 cm | Peso aproximado: 154g | Cores disponíveis: BEGE, PRETO",in stock,new,22.98 BRL,https://giftwebbrindes.com.br/produto/sacola-de-algodao-04399-beg,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/04399/04399_1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,sacola-tnt-algodao,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/04399/04399_2.jpg
02082N,Sacola de TNT sem Alça,"Sacola de tnt sem alça com costura termo selada. | Medidas de gravação (CxL): 24 cm x 21 cm | Peso aproximado: 17g | Cores disponíveis: AZUL ESCURO, AZUL ROYAL, BRANCO, LARANJA, PRETO, VERDE, VERMELHO",in stock,new,4.23 BRL,https://giftwebbrindes.com.br/categoria/sacolas,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/02082N/02082N_1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,sacola-tnt-algodao,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/02082N/02082N_2.jpg
01320,Mochila de Nylon USB 20L,"Mochila de nylon 20 litros com três compartimentos, sendo o principal com bolso para notebook 15,6. | Medidas de gravação (CxL): 23 cm x 10 cm | Peso aproximado: 522g | Cores disponíveis: AZUL, CINZA, PRETO, VERMELHO",in stock,new,64.39 BRL,https://giftwebbrindes.com.br/produto/mochila-de-nylon-usb-20l-01320-vm,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/01320/01320_1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,mochilas-bolsa-necessaire,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/01320/01320_2.jpg
04846,Bolsa Térmica 7L,"Bolsa térmica de poliéster com dois compartimentos, capacidade de 7 litros. | Medidas de gravação (CxL): 8 cm x 16,5 cm | Peso aproximado: 172g | Cores disponíveis: AZUL ESCURO, CINZA CLARO, CINZA ESCURO, VERMELHO",in stock,new,49.35 BRL,https://giftwebbrindes.com.br/produto/bolsa-termica-7l-04846-vm,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/04846/04846_1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,mochilas-bolsa-necessaire,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/04846/04846_2.jpg
02075,Guarda-chuva Automático,"Guarda-chuva com tecido de nylon e abertura automática, basta acionar o botão inferior. | Medidas de gravação (CxL): 15 cm x 30 cm | Peso aproximado: 292g | Cores disponíveis: AZUL, BRANCO, LARANJA, PRETO, VERMELHO",in stock,new,34.02 BRL,https://giftwebbrindes.com.br/produto/guarda-chuva-02075-vm,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/02075/02075_1.jpg,Gift Web,,,999,,,,,,,,,,,,,,,,,guarda-chuvas,,,https://ozkbfxvouxgsdthnweyr.supabase.co/storage/v1/object/public/site-images/topprodutos/02075/02075_2.jpg
